PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2 3 -1 -2 -3 
-2.09385E-12 -1.29121E-13 0.00000E+00 5.37811E-14 5.37811E-14 0.00000E+00 
-2.62174E-12 -1.17853E-13 0.00000E+00 5.37811E-14 5.37811E-14 0.00000E+00 
-3.15628E-12 -1.06444E-13 0.00000E+00 5.37811E-14 5.37811E-14 0.00000E+00 
-3.69709E-12 -9.49008E-14 0.00000E+00 5.37811E-14 5.37811E-14 0.00000E+00 
-4.24378E-12 -8.32320E-14 0.00000E+00 5.37811E-14 5.37811E-14 0.00000E+00 
1.08759E-11 -5.68524E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
1.03632E-11 -5.56857E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
9.83080E-12 -5.44741E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
9.27873E-12 -5.32177E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
8.70714E-12 -5.19169E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
8.11630E-12 -5.05722E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
7.50645E-12 -4.91844E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
7.02173E-12 -4.80813E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
6.87792E-12 -4.77540E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
6.17971E-12 -4.61650E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
5.46076E-12 -4.45289E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
4.72164E-12 -4.28468E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
3.96299E-12 -4.11203E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
3.18546E-12 -3.93508E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
2.38976E-12 -3.75400E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
1.57660E-12 -3.56894E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
7.46734E-13 -3.38008E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-9.90953E-14 -3.18759E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-9.60136E-13 -2.99164E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-1.83562E-12 -2.79240E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-2.72482E-12 -2.59004E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-3.62697E-12 -2.38473E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-4.54137E-12 -2.17664E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-5.46731E-12 -1.96591E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-6.40410E-12 -1.75272E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
-7.35108E-12 -1.53721E-13 0.00000E+00 1.00326E-13 1.00326E-13 0.00000E+00 
1.88392E-11 -1.05001E-12 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.79511E-11 -1.02846E-12 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.70289E-11 -1.00608E-12 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.60726E-11 -9.82875E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.50825E-11 -9.58850E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.40590E-11 -9.34017E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.30026E-11 -9.08384E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.21630E-11 -8.88011E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.19139E-11 -8.81966E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.07045E-11 -8.52620E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
9.45911E-12 -8.22402E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
8.17880E-12 -7.91335E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
6.86467E-12 -7.59449E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
5.51784E-12 -7.26768E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
4.13953E-12 -6.93324E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
2.73098E-12 -6.59146E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
1.29349E-12 -6.24266E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
-1.71652E-13 -5.88715E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
-1.66314E-12 -5.52524E-13 0.00000E+00 1.87152E-13 1.87152E-13 0.00000E+00 
-3.17966E-12 -5.15727E-13 0.00000E+00 1.87151E-13 1.87151E-13 0.00000E+00 
-4.71991E-12 -4.78353E-13 0.00000E+00 1.87151E-13 1.87151E-13 0.00000E+00 
-6.28262E-12 -4.40435E-13 0.00000E+00 1.87151E-13 1.87151E-13 0.00000E+00 
-7.86654E-12 -4.02001E-13 0.00000E+00 1.87151E-13 1.87151E-13 0.00000E+00 
-9.47043E-12 -3.63084E-13 0.00000E+00 1.87151E-13 1.87151E-13 0.00000E+00 
-1.10931E-11 -3.23709E-13 0.00000E+00 1.87151E-13 1.87151E-13 0.00000E+00 
-1.27335E-11 -2.83907E-13 0.00000E+00 1.87151E-13 1.87151E-13 0.00000E+00 
3.26326E-11 -1.93922E-12 0.00000E+00 3.49115E-13 3.49115E-13 0.00000E+00 
3.10943E-11 -1.89942E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
2.94969E-11 -1.85809E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
2.78404E-11 -1.81523E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
2.61254E-11 -1.77086E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
2.43526E-11 -1.72500E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
2.25227E-11 -1.67766E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
2.10684E-11 -1.64003E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
2.06368E-11 -1.62887E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
1.85419E-11 -1.57467E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
1.63847E-11 -1.51886E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
1.41670E-11 -1.46149E-12 0.00000E+00 3.49114E-13 3.49114E-13 0.00000E+00 
1.18908E-11 -1.40260E-12 0.00000E+00 3.49113E-13 3.49113E-13 0.00000E+00 
9.55781E-12 -1.34224E-12 0.00000E+00 3.49113E-13 3.49113E-13 0.00000E+00 
7.17034E-12 -1.28047E-12 0.00000E+00 3.49113E-13 3.49113E-13 0.00000E+00 
4.73051E-12 -1.21735E-12 0.00000E+00 3.49113E-13 3.49113E-13 0.00000E+00 
2.24054E-12 -1.15293E-12 0.00000E+00 3.49113E-13 3.49113E-13 0.00000E+00 
-2.97330E-13 -1.08727E-12 0.00000E+00 3.49113E-13 3.49113E-13 0.00000E+00 
